Target,Bmag,eBmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,ObsDate
HR 5999,--,--,--,--,--,--,--,--,5.62,--,5.08,--,4.31,--,--,--,--,--,1992Mar
HR 6000,--,--,--,--,--,--,--,--,6.64,--,6.66,--,6.64,--,--,--,--,--,1992Mar
2MASS J16083331-3905268,--,--,--,--,--,--,--,--,9.12,--,8.47,--,8.26,--,--,--,--,--,1992Mar
Sz 65,--,--,--,--,--,--,--,--,9.3,--,8.48,--,7.99,--,7.21,--,--,--,unknown
Sz 70,--,--,--,--,--,--,--,--,11,--,10.31,--,9.89,--,9.2,--,--,--,unknown
Sz 71,--,--,--,--,--,--,--,--,10.38,--,9.41,--,8.95,--,8.24,--,--,--,unknown
Sz 73,--,--,--,--,--,--,--,--,11.02,--,9.51,--,8.44,--,6.86,--,--,--,unknown
Sz 76,--,--,--,--,--,--,--,--,10.36,--,9.49,--,9.04,--,8.32,--,--,--,unknown
Sz 91,--,--,--,--,--,--,--,--,11.31,--,10.36,--,9.98,--,--,--,--,--,unknown
Sz 94,--,--,--,--,--,--,--,--,11.5,--,10.89,--,10.63,--,10.2,--,--,--,unknown
Sz 95,--,--,--,--,--,--,--,--,11.11,--,10.31,--,9.99,--,9.57,--,--,--,unknown
Sz 96,--,--,--,--,--,--,--,--,10.31,--,9.49,--,9.05,--,8.43,--,--,--,unknown
Sz 97,--,--,--,--,--,--,--,--,11.29,--,10.59,--,10.26,--,9.68,--,--,--,unknown
Sz 99,--,--,--,--,--,--,--,--,12.04,--,11.36,--,10.93,--,10.08,--,--,--,unknown
Sz 100,--,--,--,--,--,--,--,--,11.14,--,10.43,--,9.92,--,9.06,--,--,--,unknown
Sz 101,--,--,--,--,--,--,--,--,10.71,--,9.7,--,9.45,--,8.64,--,--,--,unknown
Sz 102,--,--,--,--,--,--,--,--,14.41,--,13.67,--,12.51,--,--,--,--,--,unknown
Sz 103,--,--,--,--,--,--,--,--,11.78,--,10.9,--,10.4,--,9.72,--,--,--,unknown
Sz 104,--,--,--,--,--,--,--,--,11.78,--,11.06,--,10.62,--,10.04,--,--,--,unknown
Sz 105,--,--,--,--,--,--,--,--,9.22,--,8.2,--,7.8,--,7.49,--,--,--,unknown
Sz 106,--,--,--,--,--,--,--,--,13.13,--,12.02,--,11.04,--,9.68,--,--,--,unknown
Sz 107,--,--,--,--,--,--,--,--,11.5,--,10.92,--,10.59,--,9.8,--,--,--,unknown
Sz 109,--,--,--,--,--,--,--,--,11.59,--,10.95,--,10.54,--,9.8,--,--,--,unknown
Sz 111,--,--,--,--,--,--,--,--,11.08,--,10.37,--,10.1,--,9.83,--,--,--,unknown
Sz 112,--,--,--,--,--,--,--,--,11.05,--,10.34,--,9.85,--,9.1,--,--,--,unknown
Sz 113,--,--,--,--,--,--,--,--,12.86,--,12.08,--,11.58,--,--,--,--,--,unknown
Sz 114,--,--,--,--,--,--,--,--,10.42,--,9.62,--,9.18,--,8.45,--,--,--,unknown
Sz 115,--,--,--,--,--,--,--,--,11.46,--,10.74,--,10.4,--,10.12,--,--,--,unknown
Sz 117,--,--,--,--,--,--,--,--,11.02,--,10.11,--,9.66,--,9.23,--,--,--,unknown
Sz 118,--,--,--,--,--,--,--,--,11.51,--,10.11,--,9.2,--,7.96,--,--,--,unknown
Sz 121,--,--,--,--,--,--,--,--,10.27,--,9.49,--,9.13,--,--,--,--,--,unknown
Sz 122,--,--,--,--,--,--,--,--,11.03,--,10.31,--,10.07,--,10.42,--,--,--,unknown
Sz 123,--,--,--,--,--,--,--,--,11.2,--,10.36,--,9.91,--,9.21,--,--,--,unknown
Sz 124,--,--,--,--,--,--,--,--,10.43,--,9.71,--,9.58,--,--,--,--,--,unknown
Sz 126,--,--,--,--,--,--,--,--,10.52,--,9.53,--,9.01,--,--,--,--,--,unknown
Sz 128,--,--,--,--,--,--,--,--,11.19,--,10.29,--,9.71,--,--,--,--,--,unknown
Sz 130,--,--,--,--,--,--,--,--,10.83,--,10.07,--,9.69,--,--,--,--,--,unknown
Sz 131,--,--,--,--,--,--,--,--,11.56,--,10.65,--,10.09,--,9.28,--,--,--,unknown
Sz 133,--,--,--,--,--,--,--,--,12.1,--,10.47,--,9.34,--,8,--,--,--,unknown
Sz 65,--,--,--,--,--,--,--,--,9.23,--,8.36,--,8.01,--,7.37,--,7.12,--,1982Apr
Sz 66,--,--,--,--,--,--,--,--,10.8,--,9.76,--,9.24,--,8.47,--,8.08,--,1982Apr
Sz 69,--,--,--,--,--,--,--,--,10.85,--,9.88,--,9.28,--,8.42,--,7.86,--,1982Apr
Sz 71,--,--,--,--,--,--,--,--,10.15,--,9.15,--,8.65,--,7.91,--,7.59,--,1982Apr
Sz 72,--,--,--,--,--,--,--,--,10.66,--,9.81,--,9.43,--,8.33,--,8.36,--,1982Apr
Sz 73,--,--,--,--,--,--,--,--,10.78,--,9.29,--,8.36,--,6.99,--,6.13,--,1982Apr
Sz 74,--,--,--,--,--,--,--,--,9.14,--,7.94,--,7.33,--,6.46,--,5.9,--,1982Apr
Sz 77,--,--,--,--,--,--,--,--,9.57,--,8.69,--,8.34,--,7.81,--,7.6,--,1982Apr
Sz 81,--,--,--,--,--,--,--,--,10.41,--,9.61,--,9.33,--,8.86,--,8.52,--,1982Apr
Sz 82,--,--,--,--,--,--,--,--,8.82,--,8,--,7.76,--,7.08,--,6.55,--,1982Apr
Sz 84,--,--,--,--,--,--,--,--,10.92,--,10.19,--,9.82,--,9.49,--,9.46,--,1982Apr
Sz 88,--,--,--,--,--,--,--,--,10.04,--,9.07,--,8.54,--,7.74,--,7.86,--,1982Apr
