Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 24512,3.26,10.64,9.97,9.04,9.04,7.28,6.73,6.66,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 245185 B,9.93,--,--,--,--,3.98,3.07,2.71,2.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24534,6.1,0.99,1.67,1.98,2.16,2.24,--,2.35,2.33,2.35,2.51,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24544,9.6,--,--,--,--,-1.59,-2.56,-3.05,-3.72,-4.09,-4.95,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 245465,8.8,7.15,5.69,2.06,0.19,-0.49,-1.37,-1.66,-1.85,-1.47,-1.59,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 245770,9.39,2.37,3.27,3.41,3.5,3.98,3.92,3.92,3.81,4.15,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 245906,10.2,--,--,--,--,2.09,--,0.5,-0.05,-0.09,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24600,8.92,7.46,5.59,2.87,2,1.3,0.53,0.34,0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24607,7.8,--,--,--,--,1.91,0.9,0.55,0.39,0.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 246450,9.58,--,--,--,--,4.05,3.2,2.7,2.19,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24712,6,9.45,7.49,--,--,2.72,--,1.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24736,8.53,8.98,7.39,5.94,5.94,3.34,2.55,2.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24754,7.2,--,--,--,--,7.38,7.16,6.9,6.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24760,2.89,8.36,6.4,3.21,1.93,1.24,--,0.14,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 247925,9.1,8.12,6.23,3.05,1.69,0.9,0.04,-0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 248411,8.95,5.11,6.03,6.24,6.34,5.95,5.8,5.67,5.38,5.34,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2489,10.2,5.33,5.63,--,--,5.81,5.85,5.85,5.81,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 24912,4.04,3.46,3.26,2.24,1.95,1.67,1.39,1.35,1.3,1.35,1.57,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 249751,10.34,1.42,2.33,2.69,2.89,3.09,--,3.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 249845,8.75,11.5,9.61,--,--,5.12,4.33,4.15,4.04,4.12,3.95,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 250028,9,2.87,3.67,4.01,4.22,4.34,4.45,4.49,4.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25025,2.94,10.25,10.44,--,--,9.11,8.84,8.82,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 250663 B,9.65,5.19,4.92,3.82,3.48,3.29,3.03,2.92,2.83,2.87,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 250792,9.29,11.72,10.77,8.7,8.07,7.42,--,6.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25204,3.41,7.47,7.1,5.37,4.79,4.33,3.76,3.69,3.56,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25267,4.66,8.1,7.05,--,--,-0.59,-1.56,-1.88,-2.14,--,-3.03,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25291,5.12,8.6,9.32,--,--,8,7.77,7.49,7.11,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25329,8.5,8.81,9.55,--,--,8.21,7.98,7.64,7.17,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25408,7.6,--,--,--,--,4.84,3.73,3.31,2.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25422,4.57,5.9,6.64,6.33,6.18,6.1,6.05,6.02,5.99,5.9,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 254577,9.06,5.45,4.41,2.4,1.85,1.42,0.8,0.71,0.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 255045,8.9,3.94,3.04,1.29,0.76,0.4,-0.11,-0.22,-0.34,-0.21,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25558,5.33,7.54,8.28,--,--,7.93,7.86,7.89,7.93,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25604,4.37,--,--,--,--,5.07,4.24,3.77,3.25,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25642,4.29,--,6.11,--,--,6.3,6.33,6.32,6.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 25705,4.5,--,--,--,--,11,10.29,9.98,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 2585,10.91,8.52,6.86,3.43,1.77,0.79,-0.13,-0.37,-0.58,--,0.03,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 258686,9.12,10.4,8.6,--,--,3.45,2.53,2.31,2.15,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 258749,9.8,8.82,6.9,--,--,1.95,--,0.86,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
