Target,V,U,B,R,I,J,H,K,L,M,N,eV,eU,eB,eR,eI,eJ,eH,eK,eL,eM,eN,ObsDate
HD 135591 A,5.46,3.79,4.58,4.79,4.97,5.08,--,5.22,5.22,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 135591 C,11.71,6.51,7.03,7.04,7.1,7.14,--,7.17,7.01,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 135592,6.39,5.24,5.9,6.12,6.26,6.25,6.33,6.42,6.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 135722,3.49,10.28,8.57,--,--,3.09,2.19,1.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 135742,2.62,3.99,4.86,5.05,5.23,5.36,--,5.56,5.66,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 135758,4.33,4.59,5.48,5.77,5.96,6.18,6.23,6.31,6.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13596,5.7,5.78,5.08,3.4,2.9,2.52,--,1.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136028,5.89,2.25,3.18,3.44,3.65,3.76,3.84,3.9,3.93,3.98,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13611,4.35,3.83,4.76,5.04,5.26,5.05,5.12,5.07,4.97,4.85,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136352,5.65,0.54,1.42,1.73,1.95,2.17,2.24,2.32,2.34,2.35,0.81,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136458,7.5,6.76,7.3,7.32,7.4,7.47,--,7.53,7.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136488,9.1,6.34,6.52,--,--,6.68,6.65,6.67,6.61,5.83,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136512,5.51,10.79,11.71,10.91,10.71,10.19,9.9,9.49,8.75,6.28,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136543,11,1.03,1.52,1.66,1.76,1.95,1.98,2.03,1.99,2.11,2.27,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13658,8.92,--,--,--,--,4.28,2.89,1.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13661,7.79,6.33,6.53,6.46,6.49,6.5,--,6.51,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136664,4.54,14.57,12.19,7.56,5.81,4.59,3.47,3.08,2.72,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13669,7.9,--,--,--,--,8.05,7.35,6.66,5.59,4.51,3.53,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136734,8.84,6.96,7.48,7.62,7.73,7.84,--,7.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136753,5.8,8.63,8.9,--,--,8.63,8.56,8.53,8.43,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 136986,7,--,--,--,--,13.5,13.15,12.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137287,10.2,7.4,7.35,6.25,5.92,5.55,5.21,5.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137387,5.49,4.13,3.66,2.19,1.75,1.41,--,0.89,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137387B,11.27,6.14,6.77,--,--,7.39,7.25,7.21,7.17,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137432,5.45,--,--,--,--,--,--,11.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137471,5.17,--,--,--,--,7.6,6.81,6.11,5.02,4.08,1.86,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137509,6.87,--,--,--,--,1.26,0.3,-0.15,-0.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137595,7.49,--,--,--,--,5.73,4.73,4.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137603,9.71,10.22,10.32,--,--,9.39,9.28,9.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137613,7.54,11.61,12.55,--,--,11.69,11.76,11.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137759,3.29,7.92,6.93,4.95,4.38,3.9,--,3.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13783,8.31,6.01,6.58,--,--,6.92,6.97,7.01,7.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137853,6.02,--,--,--,--,10.64,10.5,10.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137909,3.68,9,9.83,9.76,9.76,9.76,9.71,9.71,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 137949,6.69,--,--,--,--,9.58,9.28,9.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13826,9.8,10.43,9.35,--,--,6.13,5.54,5.42,5.31,5.44,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138279,9.73,--,--,--,--,--,--,11.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13841,7.37,--,--,--,--,--,9.73,8.82,8.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138505,5.82,3.51,4.07,4.26,4.4,4.57,--,4.65,4.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13854,6.48,--,--,--,--,--,9.71,8.91,7.91,--,4.6,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138547,7.2,8.02,7.66,--,--,5.34,4.82,4.69,4.61,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138693,10.1,4.47,5.29,5.51,5.72,5.9,5.95,5.97,5.94,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138716,4.62,9.59,10.24,9.42,8.77,8.9,8.2,7.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138743,6.5,--,--,--,--,9.45,8.26,7.35,5.88,4.91,2.67,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138749,4.13,4.8,4.49,--,--,14.16,13.85,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138764,5.17,9.46,8.94,7.37,6.89,6.54,6.06,5.99,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138800 A,5.65,10.64,9.44,--,--,4.83,4.05,3.9,3.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138800 B,12.86,8.63,6.41,2.55,1.13,0.31,-0.6,-0.89,-1.25,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 138905,3.91,--,--,--,--,6.3,5.14,4.59,4.05,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13900,9.17,6.09,5.01,3.05,2.45,2,--,1.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139006,2.24,0.96,2.02,2.32,2.54,2.72,2.84,2.88,2.85,2.95,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139127,4.33,4.68,5.15,4.42,4.15,--,--,3.75,3.72,--,3.26,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13913,7.4,3.3,4.36,4.75,5.01,5.23,5.29,5.46,5.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139153,5.11,--,--,--,--,9.57,8.92,8.45,7.25,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139216,6.25,8.14,8.83,--,--,7.44,7.36,7.36,7.29,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139663,4.96,7.84,8.04,--,--,7.7,7.65,7.63,7.71,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13969,8.86,7.01,7.67,7.53,7.53,7.53,7.46,7.5,7.37,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 13974,4.87,3.02,2.77,2.35,2.14,2.04,1.92,1.86,1.8,1.87,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 139997,4.72,--,--,--,--,3.17,2.11,1.64,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140041,6.2,--,--,--,--,--,4.17,3.85,3.58,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140160,5.33,5.77,6.37,--,--,6.8,--,6.87,7.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140283,7.22,4.94,5.7,--,--,5.41,5.24,5.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140297,8.4,4.26,5.16,5.39,5.59,5.8,--,5.91,6.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 1404,4.52,--,--,--,--,--,10.98,10.67,10.41,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14052,8.18,10.23,10.52,--,--,9.58,9.44,9.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14053,8.43,9.95,10.47,10.16,10.03,9.94,9.86,9.78,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140543,8.88,--,--,--,--,--,9.29,8.62,7.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140573,2.65,8.1,8.5,8.43,8.43,8.5,8.48,8.54,8.45,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 140775,5.58,--,--,--,--,8.82,8.2,8.06,7.73,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141003,3.67,5.24,6.05,--,--,6.64,6.7,6.76,6.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141004,4.43,9.44,9.66,--,--,9.24,9.22,9.17,9.13,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14134,6.55,7.37,7.26,6.95,6.85,6.71,--,6.57,6.58,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14142,8.45,8.4,8.63,--,--,8.22,8.11,8.11,8.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14143,6.66,--,--,--,--,--,10.52,10.09,9.38,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141468 A,9,10.86,11.83,--,--,11.73,11.65,11.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141468 B,10.38,10.99,10.69,--,--,9.5,9.41,9.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141477,4.09,7.71,8.22,--,--,8.17,8.14,8.16,8.13,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141513,3.53,--,--,--,--,9.66,8.99,8.53,7.83,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141527,5.71,--,--,--,--,10.52,9.61,8.94,8.18,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141678,8.5,10.27,10.15,--,--,7.81,7.41,7.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141714,4.63,5.87,6.58,6.76,6.9,7.17,--,7.25,7.2,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141826,6.9,3.29,4.26,4.42,4.59,4.8,--,4.96,4.97,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141850,5.2,9.71,10.56,10.38,10.38,10.37,10.28,10.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141891,2.85,--,--,--,--,--,6.7,6.54,6.31,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 141992,4.78,--,--,--,--,--,--,--,7.8,--,4.25,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142091,4.82,--,--,--,--,--,--,--,--,--,4.4,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142139,5.76,--,--,--,--,9.44,9.26,9.08,9.35,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142143,8.8,--,--,--,--,--,9.95,9.33,8.65,--,4.8,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142198,4.16,--,--,--,--,3.85,3.99,4.03,4.32,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142267,6.12,2.45,3.48,3.72,3.89,3.77,3.79,3.89,3.88,3.87,3.89,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14228,3.57,4.67,5.29,--,--,--,--,5.55,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142301,5.87,10.05,10.07,--,--,--,8.87,8.26,7.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142373,4.62,--,--,--,--,--,11.03,10.78,10.44,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14242,8.36,11.67,12.34,--,--,10.14,9.38,9.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142468,7.9,--,--,--,--,--,10.5,10.14,9.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14250,8.96,--,--,--,--,--,9.97,9.49,8.92,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142560,9.6,--,--,--,--,--,7.36,7.43,6.1,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142574,5.44,7.16,7.76,--,--,8.09,--,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142641,7.8,--,--,--,--,--,10.45,9.67,9.15,--,4.9,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142669,3.86,8,8.58,--,--,7.7,7.51,7.62,6.8,5.3,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142696,10,--,--,--,--,--,8.7,8.06,7.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14270,7.88,--,--,--,--,--,--,8.3,7,--,5.2,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142754,8.6,--,--,--,--,--,9.46,8.85,8.12,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142780,5.38,5.87,6.75,6.42,6.21,--,--,6.3,6.1,4.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14284,9.43,7.71,8.2,--,--,--,--,6.4,5.8,4.4,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142860,3.86,10.59,10.43,--,--,8.11,7.85,7.4,6.2,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142926,5.75,4.2,5.15,4.91,4.73,4.58,--,4.57,4.5,4.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142927,8.8,6.42,7.04,7.17,7.29,7.38,--,7.45,7.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142941,6.41,--,--,--,--,--,10.38,9.39,8.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142983,4.87,6.08,6.79,6.4,6.2,--,--,6,5.7,4.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 142990,5.43,9.6,9.99,9.25,8.76,8.48,7.71,7.57,6.67,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143018,2.91,5.66,6.43,6.61,6.74,6.9,6.93,6.98,6.97,6.82,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143107,4.16,--,--,--,--,8.29,7.63,7,6.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143118 A,3.41,--,--,--,--,--,7.47,6.42,5.11,4.2,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143118B,7.86,3.46,4.4,4.67,4.85,--,--,5.03,5.26,5.36,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143183,10,5.37,6.3,6.3,6.35,5.03,--,4.94,4.44,4.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14321,9.22,5.36,6.29,6.29,6.34,6.42,--,6.41,6.09,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14322,6.85,1.45,2.53,--,--,3.27,3.36,3.46,3.5,3.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143275,2.32,--,--,--,--,--,--,7.2,5.9,--,3.75,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14330,7.96,5.5,6.24,--,--,6.68,6.67,6.76,--,6.47,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143414,10.1,--,--,--,--,--,11.11,10.53,9.68,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143454,2,6.44,7.09,--,--,5.82,5.61,5.68,5.47,4.97,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14357,8.52,--,--,--,--,--,8.16,7.58,6.95,5.8,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 143699,4.89,--,--,--,--,--,10.82,10.36,9.59,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14386,3.05,6.4,7.18,--,--,7.72,7.71,7.8,7.84,6.94,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144,5.59,--,--,--,--,--,9.77,9.24,8.54,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144018,8,5.13,4.58,3.55,3.12,2.42,2.14,1.99,1.94,2.07,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14404,8,--,--,--,--,--,10.05,9.4,8.85,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144205,6.58,10.04,9.96,--,--,9.47,9.29,9.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144217,2.58,--,--,--,--,--,11.14,10.62,9.47,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14422,8.99,9.58,9.15,--,--,8.3,7.42,6.4,5.28,4.62,2.76,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144284,4.01,10.08,10.02,--,--,9.5,9.3,9.26,9.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144311,8.7,--,--,--,--,--,9.39,9.24,5.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14433,6.39,--,--,--,--,--,10.04,9.46,8.74,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144334,5.92,7.86,8.3,--,--,8.27,8.11,8.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14434,8.49,--,--,--,--,11.26,10.26,9.49,8.78,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14443,8.05,6.32,7.02,7.22,7.38,7.49,7.51,7.55,7.6,7.06,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144470,3.97,0.48,1.51,1.76,1.93,2.07,2.07,2.16,2.14,2.15,2.08,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144515,8.28,8.24,8.65,8.37,8.31,8.21,--,8.13,7.68,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144542,6.19,--,--,--,--,8.95,8.44,8.19,7.6,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144578,8.8,--,--,--,--,6.17,5.47,5.33,4.95,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144579,6.67,--,--,--,--,--,--,9,--,--,5.25,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144585,6.32,7.52,6.33,4.34,3.78,3.31,2.75,2.66,2.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144608,4.33,7.62,8.03,--,--,8.22,8.25,8.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144622,8.2,--,--,--,--,--,10.55,9.98,9.21,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144661,6.33,5.7,5.04,3.33,2.78,2.34,1.77,1.68,1.64,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144668,7.05,9.43,7.5,4.71,3.77,3.15,--,2.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14469,9.4,--,9.94,9.74,9.67,9.85,9.69,9.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144690,5.38,--,--,--,--,11.13,9.48,8.44,7.02,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14476,8.75,2.22,2.84,3.06,3.15,3.21,3.07,2.97,2.69,2.42,1.85,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144782,7.8,10.37,10,--,--,9.26,8.66,7.96,6.59,5.55,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144813,10,6.46,7.01,7.09,7.17,7.26,7.26,7.26,7.13,6.07,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144844,5.88,5.42,6.14,6.11,6.11,6.26,6.2,6.31,--,6.16,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14488,7.82,--,10.67,--,--,4.18,3.24,2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144889,6.14,9.87,10.77,10.22,10.11,9.9,9.79,9.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14489,5.17,10.03,9.91,9.6,9.45,9.06,8.35,7.55,--,5.81,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144900,9.65,9.3,9.84,--,--,7.43,7.12,6.76,6.32,5.84,5.46,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144921,8.6,8.62,8.78,8.48,8.36,8.36,--,8.43,8.49,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 144969,8.39,2.54,3.55,3.87,4.11,4.34,4.45,4.51,4.54,4.7,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145002,5.73,5.66,6.5,6.84,7.08,7.04,7.02,7.04,6.92,6.46,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14509,6.37,--,9.83,--,--,--,5.52,5.36,5.14,5,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14520,9.15,--,--,--,--,9.5,8.19,7.09,5.78,5.05,5,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14528,7.9,5.04,4.93,4.65,4.59,4.53,--,4.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145328,4.76,3.73,4.48,4.57,4.67,4.7,4.7,4.69,4.47,4.19,3.41,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14535,7.45,11.32,10.97,--,--,9.21,8.97,8.88,8.74,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145366,4.68,12.87,12.02,--,--,9.37,9.07,8.95,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145389,4.27,10.22,11.1,10.25,10.31,9.96,9.62,8.61,6.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14542,6.98,7.58,7.07,5.54,5.11,4.74,4.3,4.24,4.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145459,12.24,5.88,6.09,5.93,5.88,5.83,--,5.92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145502,4.01,10.52,8.3,4.43,3.02,2.09,1.2,0.85,0.63,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 145713,5.7,11.06,10.77,10,9.7,9.48,9.3,9.22,9.16,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14580,8.47,2.1,2.53,2.65,2.74,2.81,2.84,2.82,2.7,2.61,1.97,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146001,6.05,11.71,11.51,--,--,9.77,9.55,9.42,9.26,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146034,10.3,10.84,10.72,9.56,9.14,8.91,8.65,8.63,8.46,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14605,9.34,5.14,6.02,--,--,6.7,6.72,6.84,--,6.6,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146051,2.75,0.5,1.56,1.84,2.04,2.19,2.26,2.32,2.31,2.3,2.21,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146116,7.68,5.96,6.82,--,--,7.38,7.39,7.47,7.38,6.83,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146143,4.98,5.88,6.36,--,--,6.74,6.75,6.79,6.73,6.62,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146145,6.33,10.18,10.32,--,--,9.36,9.26,9.23,8.96,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146323,6.49,7.67,7.93,--,--,--,6.31,5.52,4.27,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146331,8.3,--,--,--,--,--,9.85,9.19,7.59,--,3.6,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146388,5.69,--,11.51,--,--,3.7,2.8,2.37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146479 AB,8.4,7.32,7.94,7.64,7.52,7.41,7.3,7.3,7.17,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146686,4.02,7.13,6.07,4.02,3.41,2.85,--,2.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146706,7.55,5.51,6.15,--,--,6.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146791,3.23,8.52,8.82,8.09,7.84,7.65,7.49,7.57,7.55,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 146850,5.94,7.96,8.4,8.06,7.89,7.62,7.33,7.27,7.3,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147012,9.75,--,--,--,--,10.39,9.76,8.45,6.73,5.69,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147013,9.1,--,--,--,--,1.78,0.87,0.45,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147084,4.57,8.88,9.08,8.53,8.33,8.23,8.11,8.08,8.08,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147165 A,2.89,9.44,9.22,--,--,--,7.41,6.7,5.82,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147165 B,8.26,--,--,--,--,3.03,1.8,1.08,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147196,7.04,12.69,11.33,--,--,3.25,2.17,1.59,0.77,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147232,5.4,--,--,--,--,--,--,5.8,5.72,5.7,5.26,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147283,10.27,9.95,8.24,--,--,--,--,3.13,2.95,3.18,2.98,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147343,9.36,4.08,4.07,3.15,2.89,2.69,2.46,2.41,2.39,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147352,5.91,--,--,--,--,6.11,5.24,5.08,3.87,3.66,1.8,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147384,8.62,15.71,9.9,4.69,3.19,2.05,0.81,0.27,-0.32,-0.34,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147394,3.91,--,--,--,--,--,--,9.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147419,10.5,--,--,--,--,7.22,7.27,7.32,7.24,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147513,5.4,11.98,11.33,--,--,8.67,8.39,8.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147547,3.76,3.84,4.9,5.3,5.57,5.78,5.89,5.97,6.05,6.39,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147648,9.42,10.98,11.02,--,--,9.07,8.27,8.33,7.87,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 14770,5.19,12.02,11.74,--,--,7.56,6.97,6.69,6.57,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147700,4.5,14.08,14.05,--,--,--,9.06,8.68,7.48,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
HD 147701,9.2,--,--,--,--,3.33,2.41,2.08,1.8,--,--,--,--,--,--,--,--,--,--,--,--,--,unknown
