Target,F70,eF70,F100,eF100,F160,eF160,F250,eF250,F350,eF350,F500,eF500,ObsDate
IRAS 04196+2638,500,100,--,--,430,90,340,70,300,60,220,40,unknown
IRAS 04200+2759,500,100,--,--,270,50,230,50,220,40,160,30,unknown
IRAS 04216+2603,800,200,--,--,1000,200,700,100,470,90,310,60,unknown
IRAS 04260+2642,1100,200,--,--,1500,300,1000,200,800,200,470,90,unknown
IRAS 04263+2654,350,70,--,--,--,--,--,--,--,--,--,--,unknown
IRAS 04278+2253,--,--,--,--,--,--,1100,200,600,100,470,90,unknown
IRAS 04303+2240,1600,300,--,--,700,100,320,60,--,--,--,--,unknown
IRAS 04385+2550,2900,600,3000,600,2600,500,1300,300,700,100,--,--,unknown
V* IP Tau,500,100,--,--,160,30,200,40,130,30,110,20,unknown
V* IQ Tau,800,200,--,--,900,200,800,200,700,100,490,100,unknown
V* IT Tau,300,60,350,70,--,--,180,40,110,20,--,--,unknown
ITG 15,350,70,240,50,--,--,--,--,--,--,--,--,unknown
ITG 33A,--,--,140,30,--,--,--,--,--,--,--,--,unknown
JH 112 A,600,100,--,--,440,90,--,--,--,--,--,--,unknown
JH 223,120,20,80,20,--,--,--,--,--,--,--,--,unknown
2MASS J04174955+2813318,120,20,150,30,--,--,--,--,--,--,--,--,unknown
LkCa 15,1200,200,1500,300,1800,400,--,--,--,--,--,--,unknown
MHO 3,3700,700,3100,600,3500,700,--,--,--,--,--,--,unknown
MHO 6,--,--,--,--,180,40,190,40,170,30,110,20,unknown
V* RW Aur,2500,500,2900,600,1500,300,--,--,--,--,--,--,unknown
V* RY Tau,14000,3000,--,--,9000,2000,5000,1000,3200,600,1800,400,unknown
V* UX Tau,3300,700,--,--,2600,500,1700,300,1000,200,500,100,unknown
V* UY Aur,6000,1000,--,--,3600,700,1500,300,700,100,370,70,unknown
V* UZ Tau,2200,400,--,--,2100,400,1600,300,1300,300,900,200,unknown
2MASS J04190110+2819420,500,100,430,90,500,100,--,--,--,--,--,--,unknown
V* V710 Tau,290,60,--,--,700,100,700,100,500,100,370,70,unknown
V* V773 Tau,800,200,500,100,310,60,--,--,--,--,--,--,unknown
V* V807 Tau,700,100,700,100,600,100,--,--,--,--,--,--,unknown
